timestamp,fire_rune,water_rune,air_rune,earth_rune,mind_rune,body_rune,death_rune,nature_rune,chaos_rune,law_rune,cosmic_rune,blood_rune,soul_rune
1615924800,1013781,151359,134959,56639,288085,145142,1246023,337745,475221,334995,209976,1123530,317332
1616011200,451764,921844,545033,452845,286823,101407,1272128,391174,1443613,268542,336301,1155910,469431
1616097600,685147,637711,851910,794808,289800,82802,1353480,408342,1417102,341005,389880,1228102,704784
1616184000,116964,177216,70994,64451,4217,3031,125447,33567,73751,30834,25474,84079,24355
1616270400,1035893,1658768,1223389,2057014,912054,162107,1446743,571219,1241955,290682,304875,1333171,577051
1616356800,498130,727979,149549,674094,274729,149094,1238868,435198,751808,167613,154464,1060960,248315
1616443200,535712,320098,80537,233108,307509,45829,1089876,703809,1629140,365800,277364,1874226,218995
1616529600,201286,168784,72413,580904,570500,61934,1120450,605165,1067267,296910,274218,1112495,274278
1616616000,386239,673944,229105,337171,404370,24298,995408,422879,1222650,343053,341580,1122518,225935
1616702400,365191,396733,351879,367772,413499,34285,1191410,476067,1116288,226591,327446,1856230,413214
1616788800,183024,45375,204982,901641,414627,64429,1333342,414053,1086871,306406,299405,1668627,509307
1616875200,167430,168935,173564,858956,470645,37544,1095505,368919,798812,321635,238631,1448340,434664
1616961600,361509,176767,294722,357078,336011,23010,1101179,457828,649001,321348,365760,1518708,290980
1617048000,534297,221353,211126,329138,354316,142834,912793,408594,650078,197544,190149,1140015,346237
1617134400,424124,2333062,210180,2085133,342292,193788,1273123,604776,669450,515634,448619,1378274,925303
1617220800,583643,202244,140115,363618,174706,39916,1165491,389864,1381479,239139,166350,1387882,199523
1617307200,621867,178914,280641,439985,458029,67716,1115028,633209,1572344,306816,314123,1408052,283349
1617393600,249198,156842,215948,183212,250634,26583,1199384,614727,1602662,238630,246447,1473211,196517
1617480000,648678,66473,290725,123716,382236,59737,1193867,342177,1500332,226287,210786,1161977,381447
1617566400,2847567,189931,143958,70835,546859,42912,1457353,534018,1773997,311080,397812,1536180,364894
1617652800,658388,130383,207021,72129,831072,35711,1341747,1120274,1481081,511718,296332,1362388,322865
1617739200,436353,262232,231178,984638,0,95231,1344390,370625,927981,300701,445024,754427,413360
1617825600,774632,251575,277103,259268,410768,78639,1084899,622716,1020745,321230,428133,946204,273891
1617912000,1086748,134843,218240,846295,401735,26889,1030376,414131,522537,290672,119799,1145476,409992
