timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1615924800,3680,158562,143791,158264,7817,1724
1616011200,7785,136160,192941,192772,16182,18040
1616097600,4685,131364,208410,95813,12733,7691
1616184000,169,18155,15388,8509,2976,228
1616270400,3728,124446,198440,153966,20814,2699
1616356800,4470,162293,171596,42226,13695,19484
1616443200,5192,133159,126118,331917,17229,10853
1616529600,3863,158713,232399,187115,37703,752046
1616616000,3399,178375,164475,36748,14580,2466
1616702400,6879,178687,169214,86680,16892,5792
1616788800,21168,130978,98301,82824,30009,13115
1616875200,11284,126574,119793,41608,13096,30904
1616961600,19339,112871,145184,55200,38396,36736
1617048000,5701,185695,81084,67180,10445,25653
1617134400,10493,197788,160422,100750,27450,35079
1617220800,2015,188257,123755,255663,12723,34596
1617307200,5438,149057,131399,195439,25168,23334
1617393600,5375,167351,146355,63140,22348,2756
1617480000,9456,153944,123393,245167,22328,16132
1617566400,6005,167971,161115,201631,31994,19784
1617652800,3026,146384,145897,509030,33847,8484
1617739200,2236,150445,172761,200033,25846,10513
1617825600,4299,152256,131056,84177,55441,3650
1617912000,4715,145788,139152,130030,20289,13815
1617998400,3106,139390,215022,181066,5244,312683
1618088400,8262,145263,135355,88880,43231,9907
1618171200,6213,148791,152720,280925,23009,273408
1618261200,1378,185498,168822,180084,33981,12847
1618347600,2582,192832,129394,110508,29379,897
1618430400,8272,111381,122119,139400,18518,26411
1618516800,6069,148969,126508,85151,15337,98879
1618603200,4614,136827,125781,61558,48530,19423
1618689600,2113,133362,117583,129596,16536,19114
1618776000,4336,166967,233907,147640,28728,24917
1618862400,23727,162161,152487,126308,29331,19239
1618948800,3533,149085,136530,150998,9113,14684
1619035200,4532,155217,137276,80118,23230,4946
1619121600,9896,170167,132761,107459,29181,5522
1619208000,12941,101984,124034,152617,15133,7585
1619316000,6539,84894,126563,42299,20505,13913
1619380800,14801,229255,227624,271089,24471,14254
1619467200,19564,169391,133664,48443,2478,6796
1619553600,8589,200071,160143,121657,8662,14314
1619640000,9100,173496,173910,44807,25902,10532
1619726400,4311,139619,159619,289098,38472,34357
1619823600,4168,145409,117819,88832,31723,5290
1619899200,11802,117068,119525,172837,17984,16958
1619989200,13163,161630,129197,141855,14647,27374
1620072000,4918,166192,189657,127200,29613,23880
1620158400,4137,109842,76363,166755,8178,29652
1620244800,8452,157247,189089,176470,21635,9642
1620331200,9972,124575,147091,150539,54258,4074
1620417600,4240,144970,175667,184964,19554,24542
1620504000,16985,122683,147800,116985,24968,6358
1620590400,6126,92356,207652,226538,29958,22473
1620676800,10444,110532,135636,163260,16020,19602
1620763200,4514,129881,109095,98771,24102,5640
1620849600,3643,211832,163915,208430,17348,27982
1620936000,730,135535,91358,91101,25566,4604
1621022400,11644,167331,216702,168677,7165,199496
1621108800,4741,151552,225678,177441,34479,16163
1621195200,3655,173883,139500,261757,27668,4757
1621281600,3655,173883,139500,261757,27668,4757
1621368000,11661,177629,91844,51616,23802,14927
1621454400,6970,89631,124188,156207,11348,86466
1621540800,228351,101653,211556,175969,9262,164214
1621627200,2726,125588,151364,219374,13715,8560
1621713600,3931,158540,130729,50684,10228,5068
1621800000,11091,100368,205471,34237,22708,4404
1621886400,4327,227492,235520,98293,22335,21839
1621972800,6115,200669,129845,323223,7266,3390
1622059200,2306,129648,113659,301991,14469,7576
1622145600,6602,110926,127487,287836,17349,9125
1622232000,3711,117648,154544,104256,9678,4902
1622318400,847,97084,149291,278320,60667,12058
1631563200,7029,91810,95416,95960,9958,32113
1631995200,4143,99913,137604,99795,27386,9553
1632427200,2088,123895,77353,21721,13828,9308
1632513600,9437,258621,93868,119770,11575,98819
1633032000,12298,122113,96027,79278,9368,23838
1633118400,5774,74051,113230,365005,13984,6134
1633204800,611,59312,104365,141731,18508,20162
1633291200,20359,104286,142916,85502,36814,9542
1633550400,3725,97879,64756,146799,17124,6627
1633723200,3715,75989,74139,107064,35173,6904
1633896000,4582,93667,128894,206572,22444,3832
1633982400,2218,73440,91567,45739,14344,16029
1634414400,4289,111498,150668,116108,16456,4082
1634500800,7186,84861,106153,90763,18937,114057
1635192000,1573,87210,91819,242832,46353,14012
1635278400,2173,99039,144498,70173,20153,16622
1635364800,2236,89768,215695,93262,13185,9530
1635451200,10364,78312,93519,50754,40689,5190
1635537600,6158,188880,77303,87004,19827,2329
