timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,16,15,789851,333098
1664539200,16,15,578681,401621
1664625600,16,15,659177,316057
1664712000,16,15,596233,414862
1664798400,15,15,585627,432469
1664884800,15,13,804040,306188
1664971200,14,14,729885,267395
1665057600,14,13,547489,309433
1665144000,14,14,544244,366731
1665230400,14,12,515683,400209
1665316800,13,12,738175,227372
1665403200,13,12,660283,327406
1665489600,13,12,566059,241072
1665576000,13,12,639632,281959
1665662400,13,12,545805,260595
1665748800,13,12,602701,269175
1665835200,13,12,818866,429218
1665921600,13,12,744679,366254
1666008000,13,12,757688,302369
1666094400,12,11,684567,326774
1666180800,12,11,637213,481046
1666267200,12,11,656829,309570
1666353600,12,11,782094,491589
1666440000,12,12,602027,414063
1666526400,12,11,671108,448079
1666612800,12,11,689276,444765
1666699200,12,11,673431,314958
1666785600,12,11,814248,538680
1666872000,12,11,569609,440082
1666958400,12,11,651380,336555
1667044800,12,11,739497,584318
1667131200,12,11,774097,428902
1667217600,12,11,716842,413930
1667304000,12,11,606640,400076
1667390400,12,11,624944,384688
1667476800,12,11,606837,352143
1667563200,12,12,507836,379622
1667649600,12,11,617030,437445
1667736000,12,11,747878,460352
1667822400,12,11,739285,486902
1667908800,12,11,654074,563494
1667995200,12,11,650683,424346
1668081600,12,12,989342,406566
1668168000,12,12,670077,541863
1668254400,12,11,851584,367730
1668340800,12,11,1033390,402763
1668427200,12,11,809707,502603
1668513600,12,11,663487,536621
1668600000,12,11,836052,349721
1668686400,12,12,489684,449343
1668772800,12,11,689636,383353
1668859200,12,11,642781,665276
1668945600,12,12,685790,519111
1669032000,12,11,703686,598320
1669204800,18,17,804943,602300
1669291200,12,11,649398,476368
1669377600,10,12,440868,313347
1669464000,14,12,454348,604908
1669550400,14,13,788490,589096
1669636800,14,13,705882,608155
1669723200,14,13,680106,460786
1669896000,15,14,531523,501188
1669982400,15,14,590629,448195
1670068800,15,14,557491,536166
1670155200,15,13,764192,569550
1670241600,13,13,840037,303310
1670328000,13,13,766655,382137
1670414400,14,12,686652,317393
1670500800,14,13,658411,309312
1670587200,13,13,925717,410655
1670760000,14,13,911680,505050
1670846400,14,14,783740,545607
1670932800,13,12,690550,382201
1671019200,13,12,839501,336783
1671105600,12,12,921469,367128
1671192000,13,12,579885,549068
1671278400,13,13,688970,607281
1671364800,13,13,825488,620801
1671451200,14,13,882460,607366
1671537600,14,9,467643,417405
1671624000,13,12,816619,659601
1671710400,13,13,730402,537906
1671796800,13,13,880541,516616
1671883200,13,12,831420,493056
1671969600,13,12,696284,454557
1672056000,13,13,738488,400115
1672142400,13,13,873074,584429
1672228800,13,13,852544,425763
1672315200,13,13,782438,471003
