timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,77,76,2656463,682748
1664539200,76,75,3840733,2451171
1664625600,76,75,2857782,1714172
1664712000,76,75,4308519,1119698
1664798400,77,75,2788205,2196203
1664884800,77,76,2437491,1383621
1664971200,76,75,4334268,1986380
1665057600,77,76,2249908,881400
1665144000,76,76,2548382,882725
1665230400,76,76,2742399,943159
1665316800,77,76,2478775,770150
1665403200,77,76,2329114,950445
1665489600,77,76,2346156,1000570
1665576000,77,76,2681159,978871
1665662400,76,75,2961658,813440
1665748800,77,76,2057533,1889522
1665835200,76,76,2294676,1739895
1665921600,77,76,3488236,654431
1666008000,77,76,2830926,923788
1666094400,77,76,2585641,957013
1666180800,77,76,2094359,689831
1666267200,78,77,2057580,1105992
1666353600,88,86,2596903,1694029
1666440000,91,91,3303771,1032936
1666526400,94,92,2960755,1498367
1666612800,96,95,3091026,937383
1666699200,96,95,4603715,1218670
1666785600,97,96,2698387,875599
1666872000,97,96,2405324,1182848
1666958400,96,94,3259363,1785513
1667044800,94,92,4044834,912695
1667131200,95,94,3320953,1192525
1667217600,95,94,4256973,1387013
1667304000,96,96,3322494,1043375
1667390400,95,94,3912806,871527
1667476800,96,95,2333852,1209878
1667563200,97,96,3011084,1144423
1667649600,98,97,3103053,915329
1667736000,98,97,3117638,1005412
1667822400,99,98,2306148,1382766
1667908800,98,98,2176372,1380570
1667995200,98,97,2263089,1118048
1668081600,99,98,2121035,1506540
1668168000,98,96,3187671,908783
1668254400,98,97,2881115,870301
1668340800,97,95,3468921,1001517
1668427200,97,96,3320607,751417
1668513600,97,96,2782502,860120
1668600000,98,96,3203540,1207884
1668686400,98,97,3087342,1006689
1668772800,97,94,3126126,1569340
1668859200,87,85,3416629,841654
1668945600,94,92,2799586,1135139
1669032000,97,96,3277901,1007411
1669204800,146,145,3385659,1104841
1669291200,98,96,2490235,1045790
1669377600,97,96,2903481,549899
1669464000,97,96,2850572,889048
1669550400,98,96,2794185,978168
1669636800,97,96,3083006,981477
1669723200,97,96,2693133,1204954
1669896000,98,96,2526853,996816
1669982400,98,97,2524062,821976
1670068800,97,96,2787869,982910
1670155200,98,97,2811122,1791656
1670241600,96,94,4349580,1038883
1670328000,95,94,4067029,1203925
1670414400,87,86,4753109,694285
1670500800,87,86,3503179,728852
1670587200,91,90,2383556,908860
1670760000,92,91,3931629,1350364
1670846400,93,92,2995374,1188369
1670932800,97,95,3371457,1228434
1671019200,97,95,3319726,1022793
1671105600,97,96,3253679,868516
1671192000,98,96,3835072,1145007
1671278400,98,97,2869582,1123887
1671364800,96,96,3542553,940261
1671451200,95,95,4349947,772513
1671537600,95,95,1936884,873376
1671624000,97,96,2847197,1304685
1671710400,96,94,3206712,796103
1671796800,96,95,2914271,934574
1671883200,96,96,2355727,797596
1671969600,96,95,2174667,1220778
1672056000,96,96,2024883,1042852
1672142400,96,95,2524018,1279675
1672228800,96,95,3167878,798009
1672315200,96,94,3230445,923691
1672401600,98,97,3475374,1244249
1672488000,102,100,2323059,1337974
1672574400,101,100,3464492,1023612
1672660800,98,98,3590140,617982
1672747200,99,99,3543530,1535596
1672833600,101,98,2976132,1328099
1672920000,99,98,4317258,1011898
1673006400,100,98,3030960,1324099
1673092800,101,99,3018643,861182
1673179200,101,99,2664799,1306330
1673265600,101,99,2660375,985437
1673352000,99,99,2987388,1192522
1673438400,99,98,2676021,1285878
1673524800,102,100,2850624,1135246
1673611200,103,101,2888611,939882
1673697600,104,102,2679794,1641929
1673784000,102,100,3404518,1145553
1673870400,102,100,3228927,924092
1673956800,106,104,2795189,1776153
1674043200,106,105,4193934,1548156
1674129600,109,106,4541587,1726018
1674216000,111,109,4297166,1786795
1674302400,111,109,3034978,1329084
1674388800,113,111,3594080,1363928
1674475200,113,111,3849395,1315531
1674561600,112,111,3089927,997661
1674648000,114,112,4451304,1179661
1674734400,116,114,2224354,1592329
1674820800,117,116,3603043,1774702
1674907200,116,115,3404856,1718838
1674993600,115,113,4298007,1482987
1675080000,113,110,4621184,1297216
1675166400,112,109,3515047,1298637
1675252800,110,106,6046749,1109048
1675339200,108,106,4338147,1175346
1675425600,105,103,3959227,1232256
1675512000,105,102,3778798,755259
