timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1615924800,3,2,2,6,5,5,4,4,4,7,24,87,132,193,7,11,14,10,42,1252,33631,58,19,39,15,61,36764,1153,37,377,165,60627,208,256,117,52916,3,,2,3,9,7,39,14,788,21167,59120,146918,1,,,10,3,,
1616011200,10,1,3,8,32,4,5,85,4,6,21,44,126,74,3,9,13,10,52,2207,33943,116,21,11,15,101,36895,1108,51,364,116,60339,354,723,275,52295,2,2,2,3,8,14,80,27,972,21591,58133,143092,,1,2,12,2,5,
1616097600,2,3,2,11,15,5,4,55,5,8,11,16,100,,3,2,2,50,66,2187,32785,121,25,15,18,233,35655,1196,48,324,119,61975,494,769,256,52686,1,,2,3,6,3,82,27,959,21318,58037,141045,,1,3,10,2,5,
1616184000,4,,3,,19,0,,,5,5,22,0,91,0,2,2,15,17,55,2227,31226,113,0,,2,75,35109,1350,40,301,0,62229,364,683,224,52806,,0,,,,,70,30,959,20337,57093,136132,1,,1,11,,5,
1616270400,3,2,2,10,19,3,2,2,4,5,21,58,107,129,2,4,5,12,52,1633,29928,116,31,,10,15,34404,1291,47,288,137,61603,347,763,120,52030,3,,2,2,7,9,65,23,453,20875,55517,134666,,,6,9,1,4,2
1616356800,2,,,4,6,4,5,4,2,6,10,77,20,101,3,7,2,12,10,1714,28157,91,12,3,12,12,33909,1286,41,212,65,60912,441,667,122,50332,3,2,2,2,7,6,83,22,754,20143,56937,132922,,1,3,11,4,1,
1616443200,2,,,2,29,2,2,2,1,7,23,27,116,20,3,11,12,14,11,1939,28534,87,9,10,15,17,34688,1319,43,341,141,59800,506,788,156,50638,3,2,2,2,4,3,52,28,808,20486,57192,132890,1,,4,7,2,4,2
1616529600,7,,,2,20,,1,2,10,13,18,153,167,190,2,2,2,14,11,1917,26403,63,6,2,7,10,34730,1251,46,251,104,60070,350,715,176,50667,3,2,2,5,6,7,83,23,805,20409,56436,129812,,1,2,11,,3,2
1616616000,7,2,,,12,,2,2,,16,19,92,79,99,4,5,10,17,17,1905,27647,68,11,4,15,10,37181,1264,30,151,122,59337,506,637,107,50919,3,2,2,8,6,5,82,26,804,20469,57045,130893,,1,4,13,,6,1
1616702400,,,,20,5,3,,3,10,7,,15,80,4,2,5,15,14,12,1965,29192,21,,,9,64,38705,1316,39,401,157,60209,489,730,171,50976,,,,,,,31,28,901,20548,56142,131088,,,3,9,3,7,2
1616788800,2,,2,11,14,2,,2,12,6,14,32,36,10,3,2,15,38,25,1953,30246,97,9,11,11,76,43035,1545,46,471,342,60955,523,675,166,52480,2,2,2,2,4,3,110,20,955,20572,58691,131929,,,2,6,,3,2
1616875200,3,1,,8,12,2,5,2,2,5,13,13,79,10,4,6,15,12,47,1955,29563,41,10,5,5,60,42607,1373,40,413,223,60550,586,802,119,51375,3,2,2,3,9,4,128,21,943,20560,56452,131183,,,5,2,,7,2
1616961600,2,,1,35,32,3,4,2,3,8,2,9,95,34,3,5,15,13,41,1914,29481,70,6,10,12,54,41875,1507,37,421,203,60652,751,926,128,50927,2,2,2,2,5,5,118,19,1011,21000,55850,131004,,1,2,6,2,1,
1617048000,2,2,1,6,27,1,,2,,9,10,116,159,30,3,5,15,19,24,1856,29493,60,16,11,21,75,43024,1558,41,440,207,59572,534,797,169,51629,3,2,2,2,4,4,105,18,963,20710,55657,131927,,,3,7,2,2,
1617134400,3,1,2,10,24,,5,4,4,8,25,69,125,100,2,4,9,16,35,1858,29232,40,19,19,12,83,43237,1559,40,465,206,59072,549,881,207,50463,2,2,2,3,4,4,127,15,1044,20717,55703,130140,1,,4,8,3,3,
1617220800,2,,,2,22,,4,3,4,8,27,40,129,76,2,6,2,14,63,1953,30165,40,18,20,15,61,44110,1606,36,527,170,58917,611,552,180,50940,3,2,2,2,5,4,138,17,1057,20010,59062,129574,,,4,10,3,3,
1617307200,2,1,,4,22,2,2,,3,5,19,65,103,29,2,5,7,11,34,1929,31258,33,10,17,12,69,44241,1699,44,554,237,59015,706,413,169,50204,3,2,2,2,4,,163,15,1042,19890,58131,130154,,,3,15,2,3,
1617393600,1,1,2,2,27,,2,1,3,10,14,37,85,58,3,5,7,4,24,1968,31055,43,10,15,13,65,43440,1818,42,459,195,58184,465,664,173,50973,2,2,,3,6,4,153,16,1085,19786,57155,129888,,,,20,2,,
1617480000,2,,2,9,27,3,2,3,2,3,23,72,75,118,4,8,6,5,45,1864,29620,38,13,15,13,25,43456,1792,43,490,200,57101,650,830,165,51494,2,2,2,5,4,8,145,22,1068,20014,56924,128078,,1,,17,1,,
1617566400,1,1,2,9,28,5,4,4,9,4,11,54,5,30,4,4,6,6,42,1665,29114,37,13,34,15,62,42637,1555,46,455,203,57131,692,424,129,51359,3,2,2,3,5,9,120,27,915,19859,56785,126900,1,1,,10,,6,
1617652800,,1,,7,29,5,2,4,6,7,11,62,119,76,8,4,4,6,11,1440,28931,13,18,17,14,83,42763,1447,43,558,182,58706,574,492,68,51228,2,2,2,3,3,13,141,15,1100,20152,56692,130274,1,,6,18,,3,
1617739200,1,,,9,34,,,4,,9,17,95,111,67,6,4,1,8,54,1420,29522,42,36,10,,60,43087,1692,60,548,190,59750,650,582,138,52409,2,2,2,3,,,66,11,1138,20179,55725,129254,,,2,20,1,2,2
1617825600,3,1,1,2,26,1,,2,5,14,20,73,127,81,6,10,6,5,43,1550,29380,19,7,9,10,10,43779,1674,35,432,195,62868,633,488,207,53675,2,2,1,3,6,6,154,8,1121,19953,56081,129497,,1,4,21,,3,3
1617912000,2,,1,6,22,2,4,2,2,4,12,28,105,124,5,7,7,6,29,1545,28433,41,13,11,10,68,44074,1615,43,632,183,61093,446,574,190,56817,1,3,7,5,7,7,153,10,1117,20006,56662,129046,,,3,30,2,3,2
1617998400,2,1,1,4,31,5,4,5,2,3,3,47,72,32,98,6,3,8,36,1489,27464,35,12,11,14,27,44816,1399,49,559,136,59956,405,404,206,54760,3,4,2,2,6,8,151,13,1121,20026,54466,127017,,,5,18,3,2,3
1618088400,4,,3,7,26,5,2,4,2,4,13,73,123,88,2,3,2,14,25,1359,27052,47,7,17,9,65,44959,1307,43,616,198,58046,228,469,157,52446,4,4,3,4,7,8,154,28,1136,19999,51612,124704,,,3,19,,8,
1618171200,4,2,2,5,32,15,3,5,1,18,3,77,168,59,4,6,,3,42,1191,27787,46,3,4,17,,45430,1528,16,596,228,58670,439,416,168,52645,2,2,3,3,8,8,158,26,803,19774,52101,126277,,,4,21,7,3,7
1618261200,2,,,5,28,5,4,3,2,7,32,128,138,53,2,6,2,4,45,1403,27638,35,9,10,11,59,48002,1547,49,581,190,58486,533,633,215,53058,6,4,3,3,9,9,173,20,1044,20148,52549,130864,,,,22,2,3,
1618347600,,3,,5,,,4,,,15,8,79,110,25,4,6,2,3,39,1340,26658,45,7,,2,63,47086,1234,48,521,123,58999,520,629,236,53476,,,,,,,50,29,1041,19979,54024,129451,,,,23,,5,
1618430400,2,3,2,6,32,2,2,3,2,3,22,71,139,121,6,,12,10,44,1421,27802,64,7,10,12,56,49657,1468,53,438,220,59344,441,607,258,53191,3,3,2,,8,5,146,30,1089,21293,54980,130282,,,3,15,2,4,
1618516800,2,3,,5,22,2,5,4,4,9,30,81,230,211,2,3,4,6,62,1453,28042,81,7,16,5,61,48572,1519,41,733,222,59630,543,630,247,53044,3,3,2,,4,5,145,10,900,19247,54817,130847,,1,2,23,,5,
1618603200,2,17,1,4,19,2,,,3,5,29,66,88,59,4,14,3,8,68,1442,27262,81,10,15,11,64,43434,1529,59,493,214,59991,497,786,224,55832,2,4,2,3,4,5,151,35,970,19336,54477,129365,,1,2,23,2,5,
1618689600,1,1,,30,10,0,,1,2,2,2,89,116,26,3,9,9,8,57,1378,26065,114,,,,21,40655,1583,42,402,168,59242,487,286,206,54419,4,5,6,3,5,15,172,20,989,18387,52505,125794,,1,,22,1,1,3
1618776000,3,1,,7,25,,5,7,11,2,9,64,105,27,8,6,6,11,88,1185,26884,35,,2,2,5,41563,1487,52,588,317,58998,400,627,200,54095,2,5,2,2,5,3,116,27,872,19074,51865,126627,1,1,3,19,2,2,
